"X","ResponseId","app_selected","Benefit","FDA_Approval","Invasive","Burden","Privacy","choice","question"
5,"R_6VvF4tZAxLgaxlT",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
6,"R_7PtIcP1pK9QqNIc",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
7,"R_61XtKmaCrdKbm4H",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
8,"R_7TSKwFGnLlZmZwt",1,"small benefit","FDA approved","CGM required","high burden","yes privacy","yes","Q14"
9,"R_5WxlazDmyHXu82l",2,"large benefit","FDA not approved","CGM not required","low burden","no privacy","yes","Q14"
10,"R_7MFE81uW7pKopKS",2,"large benefit","FDA not approved","CGM not required","low burden","no privacy","yes","Q14"
11,"R_6KkThgjhcqeCccY",2,"large benefit","FDA not approved","CGM not required","low burden","no privacy","yes","Q14"
12,"R_3Crm0sGqdWs2IDM",2,"large benefit","FDA not approved","CGM not required","low burden","no privacy","yes","Q14"
13,"R_3xEleGYUb768B3M",2,"large benefit","FDA not approved","CGM not required","low burden","no privacy","yes","Q14"
14,"R_3dKrAvy6gP5kvlf",2,"large benefit","FDA not approved","CGM not required","low burden","no privacy","yes","Q14"
15,"R_5WxlazDmyHXu82l",2,"small benefit","FDA approved","CGM required","high burden","yes privacy","no","Q14"
16,"R_7MFE81uW7pKopKS",2,"small benefit","FDA approved","CGM required","high burden","yes privacy","no","Q14"
17,"R_6KkThgjhcqeCccY",2,"small benefit","FDA approved","CGM required","high burden","yes privacy","no","Q14"
18,"R_3Crm0sGqdWs2IDM",2,"small benefit","FDA approved","CGM required","high burden","yes privacy","no","Q14"
19,"R_3xEleGYUb768B3M",2,"small benefit","FDA approved","CGM required","high burden","yes privacy","no","Q14"
20,"R_3dKrAvy6gP5kvlf",2,"small benefit","FDA approved","CGM required","high burden","yes privacy","no","Q14"
21,"R_8duaER8VI6Zxum0",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
22,"R_1MaGxEqIUA03UUW",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
23,"R_13fBuKPx13nVOmM",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
24,"R_7hYef0zUpMGPTq5",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
25,"R_6VvF4tZAxLgaxlT",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
26,"R_7PtIcP1pK9QqNIc",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
27,"R_61XtKmaCrdKbm4H",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
28,"R_7TSKwFGnLlZmZwt",1,"large benefit","FDA not approved","CGM not required","low burden","no privacy","no","Q14"
1,"R_7oXQsZzm76N1Oxr",1,"small benefit","FDA not approved","CGM required","low burden","yes privacy","yes","Q15"
2,"R_7pbP9Q8KG4JbbZk",1,"small benefit","FDA not approved","CGM required","low burden","yes privacy","yes","Q15"
3,"R_7PtIcP1pK9QqNIc",1,"small benefit","FDA not approved","CGM required","low burden","yes privacy","yes","Q15"
4,"R_5RJOH4EWjbehAhH",1,"small benefit","FDA not approved","CGM required","low burden","yes privacy","yes","Q15"
5,"R_61XtKmaCrdKbm4H",1,"small benefit","FDA not approved","CGM required","low burden","yes privacy","yes","Q15"
6,"R_1qgdEuKExpGBTMv",1,"small benefit","FDA not approved","CGM required","low burden","yes privacy","yes","Q15"
7,"R_6alzky3r3AiOdGw",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
8,"R_5WxlazDmyHXu82l",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
9,"R_7eJzNdIatrexDSF",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
10,"R_3U7I8G9b40NcBwd",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
11,"R_6KkThgjhcqeCccY",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
12,"R_7MFE81uW7pKopKS",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
13,"R_6OvgQp1Cn11NbWN",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
14,"R_7RVo6gunT52Zv7B",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
15,"R_1RPrzhsoVoA8tyP",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
16,"R_5wnVy3Dhc2O9Lgc",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
17,"R_5PtqB5XkN8kVb5G",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
18,"R_3CgcNVHzKFwRLbX",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
19,"R_7ePSOgHGP1DCQTF",2,"large benefit","FDA approved","CGM not required","high burden","no privacy","yes","Q15"
20,"R_6alzky3r3AiOdGw",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
21,"R_5WxlazDmyHXu82l",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
22,"R_7eJzNdIatrexDSF",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
23,"R_3U7I8G9b40NcBwd",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
24,"R_6KkThgjhcqeCccY",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
25,"R_7MFE81uW7pKopKS",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
26,"R_6OvgQp1Cn11NbWN",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
27,"R_7RVo6gunT52Zv7B",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
28,"R_1RPrzhsoVoA8tyP",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
29,"R_5wnVy3Dhc2O9Lgc",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
30,"R_5PtqB5XkN8kVb5G",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
31,"R_3CgcNVHzKFwRLbX",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
32,"R_7ePSOgHGP1DCQTF",2,"small benefit","FDA not approved","CGM required","low burden","yes privacy","no","Q15"
33,"R_7oXQsZzm76N1Oxr",1,"large benefit","FDA approved","CGM not required","high burden","no privacy","no","Q15"
34,"R_7pbP9Q8KG4JbbZk",1,"large benefit","FDA approved","CGM not required","high burden","no privacy","no","Q15"
35,"R_7PtIcP1pK9QqNIc",1,"large benefit","FDA approved","CGM not required","high burden","no privacy","no","Q15"
36,"R_5RJOH4EWjbehAhH",1,"large benefit","FDA approved","CGM not required","high burden","no privacy","no","Q15"
37,"R_61XtKmaCrdKbm4H",1,"large benefit","FDA approved","CGM not required","high burden","no privacy","no","Q15"
38,"R_1qgdEuKExpGBTMv",1,"large benefit","FDA approved","CGM not required","high burden","no privacy","no","Q15"
1,"R_8duaER8VI6Zxum0",1,"small benefit","FDA not approved","CGM required","low burden","no privacy","yes","Q16"
2,"R_5RJOH4EWjbehAhH",1,"small benefit","FDA not approved","CGM required","low burden","no privacy","yes","Q16"
3,"R_6VvF4tZAxLgaxlT",1,"small benefit","FDA not approved","CGM required","low burden","no privacy","yes","Q16"
4,"R_7pbP9Q8KG4JbbZk",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
5,"R_6alzky3r3AiOdGw",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
6,"R_6OvgQp1Cn11NbWN",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
7,"R_1MaGxEqIUA03UUW",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
8,"R_5wnVy3Dhc2O9Lgc",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
9,"R_3rOEd6r1440D4WK",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
10,"R_6IHtpYy4YR1cYpS",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
11,"R_1RPrzhsoVoA8tyP",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
12,"R_3Crm0sGqdWs2IDM",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
13,"R_5PtqB5XkN8kVb5G",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
14,"R_7PtIcP1pK9QqNIc",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
15,"R_7hYef0zUpMGPTq5",2,"large benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q16"
16,"R_7pbP9Q8KG4JbbZk",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
17,"R_6alzky3r3AiOdGw",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
18,"R_6OvgQp1Cn11NbWN",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
19,"R_1MaGxEqIUA03UUW",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
20,"R_5wnVy3Dhc2O9Lgc",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
21,"R_3rOEd6r1440D4WK",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
22,"R_6IHtpYy4YR1cYpS",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
23,"R_1RPrzhsoVoA8tyP",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
24,"R_3Crm0sGqdWs2IDM",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
25,"R_5PtqB5XkN8kVb5G",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
26,"R_7PtIcP1pK9QqNIc",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
27,"R_7hYef0zUpMGPTq5",2,"small benefit","FDA not approved","CGM required","low burden","no privacy","no","Q16"
28,"R_8duaER8VI6Zxum0",1,"large benefit","FDA approved","CGM not required","high burden","yes privacy","no","Q16"
29,"R_5RJOH4EWjbehAhH",1,"large benefit","FDA approved","CGM not required","high burden","yes privacy","no","Q16"
30,"R_6VvF4tZAxLgaxlT",1,"large benefit","FDA approved","CGM not required","high burden","yes privacy","no","Q16"
1,"R_8duaER8VI6Zxum0",1,"large benefit","FDA not approved","CGM required","low burden","no privacy","yes","Q17"
2,"R_1qgdEuKExpGBTMv",1,"large benefit","FDA not approved","CGM required","low burden","no privacy","yes","Q17"
3,"R_6alzky3r3AiOdGw",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
4,"R_7eJzNdIatrexDSF",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
5,"R_1MaGxEqIUA03UUW",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
6,"R_13fBuKPx13nVOmM",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
7,"R_5lxMgYsU0eYfeOl",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
8,"R_3dKrAvy6gP5kvlf",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
9,"R_6VvF4tZAxLgaxlT",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
10,"R_7TSKwFGnLlZmZwt",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
11,"R_6IHtpYy4YR1cYpS",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
12,"R_7ePSOgHGP1DCQTF",2,"small benefit","FDA approved","CGM not required","high burden","yes privacy","yes","Q17"
13,"R_6alzky3r3AiOdGw",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
14,"R_7eJzNdIatrexDSF",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
15,"R_1MaGxEqIUA03UUW",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
16,"R_13fBuKPx13nVOmM",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
17,"R_5lxMgYsU0eYfeOl",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
18,"R_3dKrAvy6gP5kvlf",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
19,"R_6VvF4tZAxLgaxlT",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
20,"R_7TSKwFGnLlZmZwt",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
21,"R_6IHtpYy4YR1cYpS",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
22,"R_7ePSOgHGP1DCQTF",2,"large benefit","FDA not approved","CGM required","low burden","no privacy","no","Q17"
23,"R_8duaER8VI6Zxum0",1,"small benefit","FDA approved","CGM not required","high burden","yes privacy","no","Q17"
24,"R_1qgdEuKExpGBTMv",1,"small benefit","FDA approved","CGM not required","high burden","yes privacy","no","Q17"
1,"R_7pbP9Q8KG4JbbZk",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
2,"R_5lxMgYsU0eYfeOl",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
3,"R_6IHtpYy4YR1cYpS",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
4,"R_6KkThgjhcqeCccY",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
5,"R_3rOEd6r1440D4WK",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
6,"R_7PtIcP1pK9QqNIc",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
7,"R_3dKrAvy6gP5kvlf",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
8,"R_5wnVy3Dhc2O9Lgc",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
9,"R_7TSKwFGnLlZmZwt",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
10,"R_61XtKmaCrdKbm4H",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
11,"R_7hYef0zUpMGPTq5",1,"large benefit","FDA not approved","CGM required","high burden","yes privacy","yes","Q18"
12,"R_6OvgQp1Cn11NbWN",2,"small benefit","FDA approved","CGM not required","low burden","no privacy","yes","Q18"
13,"R_5RJOH4EWjbehAhH",2,"small benefit","FDA approved","CGM not required","low burden","no privacy","yes","Q18"
14,"R_8duaER8VI6Zxum0",2,"small benefit","FDA approved","CGM not required","low burden","no privacy","yes","Q18"
15,"R_3U7I8G9b40NcBwd",2,"small benefit","FDA approved","CGM not required","low burden","no privacy","yes","Q18"
16,"R_1RPrzhsoVoA8tyP",2,"small benefit","FDA approved","CGM not required","low burden","no privacy","yes","Q18"
17,"R_7eJzNdIatrexDSF",2,"small benefit","FDA approved","CGM not required","low burden","no privacy","yes","Q18"
18,"R_13fBuKPx13nVOmM",2,"small benefit","FDA approved","CGM not required","low burden","no privacy","yes","Q18"
19,"R_6OvgQp1Cn11NbWN",2,"large benefit","FDA not approved","CGM required","high burden","yes privacy","no","Q18"
20,"R_5RJOH4EWjbehAhH",2,"large benefit","FDA not approved","CGM required","high burden","yes privacy","no","Q18"
21,"R_8duaER8VI6Zxum0",2,"large benefit","FDA not approved","CGM required","high burden","yes privacy","no","Q18"
22,"R_3U7I8G9b40NcBwd",2,"large benefit","FDA not approved","CGM required","high burden","yes privacy","no","Q18"
23,"R_1RPrzhsoVoA8tyP",2,"large benefit","FDA not approved","CGM required","high burden","yes privacy","no","Q18"
24,"R_7eJzNdIatrexDSF",2,"large benefit","FDA not approved","CGM required","high burden","yes privacy","no","Q18"
25,"R_13fBuKPx13nVOmM",2,"large benefit","FDA not approved","CGM required","high burden","yes privacy","no","Q18"
26,"R_7pbP9Q8KG4JbbZk",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
27,"R_5lxMgYsU0eYfeOl",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
28,"R_6IHtpYy4YR1cYpS",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
29,"R_6KkThgjhcqeCccY",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
30,"R_3rOEd6r1440D4WK",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
31,"R_7PtIcP1pK9QqNIc",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
32,"R_3dKrAvy6gP5kvlf",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
33,"R_5wnVy3Dhc2O9Lgc",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
34,"R_7TSKwFGnLlZmZwt",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
35,"R_61XtKmaCrdKbm4H",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
36,"R_7hYef0zUpMGPTq5",1,"small benefit","FDA approved","CGM not required","low burden","no privacy","no","Q18"
1,"R_57Kkm5961TEEEud",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
2,"R_6KkThgjhcqeCccY",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
3,"R_7pbP9Q8KG4JbbZk",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
4,"R_7RVo6gunT52Zv7B",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
5,"R_3dKrAvy6gP5kvlf",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
6,"R_5lxMgYsU0eYfeOl",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
7,"R_7hYef0zUpMGPTq5",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
8,"R_6alzky3r3AiOdGw",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
9,"R_3rOEd6r1440D4WK",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
10,"R_5PtqB5XkN8kVb5G",1,"large benefit","FDA approved","CGM required","low burden","yes privacy","yes","Q19"
11,"R_3xEleGYUb768B3M",2,"small benefit","FDA not approved","CGM not required","high burden","no privacy","yes","Q19"
12,"R_7oXQsZzm76N1Oxr",2,"small benefit","FDA not approved","CGM not required","high burden","no privacy","yes","Q19"
